id,metodo,caminho,rota,statusCode,duracaoMs,iniciadoEm,finalizadoEm,ip,userAgent,createdAt
cmpjwmnc6008ew2rwaioxjmpe,GET,/api/v1/aeronaves,/api/v1/aeronaves/,200,15.28,"2026-05-24 15:00:30.228","2026-05-24 15:00:30.243",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.246"
cmpjwmncf008fw2rw7mxvcckz,GET,/api/v1/etapas,/api/v1/etapas/,200,6.9,"2026-05-24 15:00:30.245","2026-05-24 15:00:30.252",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.255"
cmpjwmncl008gw2rwfyiav8s5,GET,/api/v1/funcionarios,/api/v1/funcionarios/,200,3.79,"2026-05-24 15:00:30.254","2026-05-24 15:00:30.258",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.261"
cmpjwmncq008hw2rw63g83731,GET,/api/v1/pecas,/api/v1/pecas/,200,3.97,"2026-05-24 15:00:30.260","2026-05-24 15:00:30.264",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.266"
cmpjwmncx008iw2rwgvwomy0e,GET,/api/v1/relatorios,/api/v1/relatorios/,200,5.21,"2026-05-24 15:00:30.265","2026-05-24 15:00:30.271",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.273"
cmpjwmnd2008jw2rw0zkiqdo5,GET,/api/v1/testes,/api/v1/testes/,200,3.3,"2026-05-24 15:00:30.272","2026-05-24 15:00:30.275",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.278"
cmpjwmndn008kw2rwir1fjgw0,POST,/api/v1/pecas,/api/v1/pecas/,201,18.97,"2026-05-24 15:00:30.277","2026-05-24 15:00:30.296",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.299"
cmpjwmne2008lw2rwi4i2b6mr,PATCH,/api/v1/pecas/21,/api/v1/pecas/:id,200,12.61,"2026-05-24 15:00:30.299","2026-05-24 15:00:30.312",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.314"
cmpjwmne6008mw2rwmjnss1gl,GET,/api/v1/pecas/21,/api/v1/pecas/:id,200,2.73,"2026-05-24 15:00:30.313","2026-05-24 15:00:30.316",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.318"
cmpjwmned008nw2rw28xkyim4,DELETE,/api/v1/pecas/21,/api/v1/pecas/:id,204,5.43,"2026-05-24 15:00:30.317","2026-05-24 15:00:30.323",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.326"
cmpjwmnew008ow2rw5tlyl3m7,GET,/api/v1/aeronaves,/api/v1/aeronaves/,200,17.41,"2026-05-24 15:00:30.324","2026-05-24 15:00:30.342",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.344"
cmpjwmnf5008pw2rw7fmei8o5,GET,/api/v1/etapas,/api/v1/etapas/,200,6.29,"2026-05-24 15:00:30.345","2026-05-24 15:00:30.351",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.354"
cmpjwmnfb008qw2rwqviwnbev,GET,/api/v1/funcionarios,/api/v1/funcionarios/,200,4.4,"2026-05-24 15:00:30.353","2026-05-24 15:00:30.357",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.359"
cmpjwmnfh008rw2rw8e6d1kgg,GET,/api/v1/pecas,/api/v1/pecas/,200,4.06,"2026-05-24 15:00:30.358","2026-05-24 15:00:30.362",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.365"
cmpjwmnfm008sw2rwo7fdm62m,GET,/api/v1/relatorios,/api/v1/relatorios/,200,4.31,"2026-05-24 15:00:30.364","2026-05-24 15:00:30.368",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.371"
cmpjwmnft008tw2rwgrixth80,GET,/api/v1/testes,/api/v1/testes/,200,4.13,"2026-05-24 15:00:30.370","2026-05-24 15:00:30.374",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.377"
cmpjwmng6008uw2rw46gtirl9,POST,/api/v1/pecas,/api/v1/pecas/,201,11.93,"2026-05-24 15:00:30.376","2026-05-24 15:00:30.388",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.391"
cmpjwmngj008vw2rwmwfkyf7r,PATCH,/api/v1/pecas/21,/api/v1/pecas/:id,200,11.41,"2026-05-24 15:00:30.390","2026-05-24 15:00:30.401",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.404"
cmpjwmngr008ww2rweyhbziuj,GET,/api/v1/pecas/21,/api/v1/pecas/:id,200,2.97,"2026-05-24 15:00:30.403","2026-05-24 15:00:30.406",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.411"
cmpjwmngz008xw2rwymi3m97o,DELETE,/api/v1/pecas/21,/api/v1/pecas/:id,204,6.52,"2026-05-24 15:00:30.410","2026-05-24 15:00:30.417",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.419"
cmpjwmnhe008yw2rww5vx1sb8,GET,/api/v1/aeronaves,/api/v1/aeronaves/,200,13.69,"2026-05-24 15:00:30.418","2026-05-24 15:00:30.432",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.434"
cmpjwmnhm008zw2rwyu8phg0p,GET,/api/v1/etapas,/api/v1/etapas/,200,6.24,"2026-05-24 15:00:30.433","2026-05-24 15:00:30.440",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.442"
cmpjwmnhr0090w2rwvy0og93u,GET,/api/v1/funcionarios,/api/v1/funcionarios/,200,3.61,"2026-05-24 15:00:30.442","2026-05-24 15:00:30.445",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.448"
cmpjwmnhw0091w2rwr9fx7che,GET,/api/v1/pecas,/api/v1/pecas/,200,3.35,"2026-05-24 15:00:30.447","2026-05-24 15:00:30.450",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.453"
cmpjwmni30092w2rwtw3xla4z,GET,/api/v1/relatorios,/api/v1/relatorios/,200,5.28,"2026-05-24 15:00:30.452","2026-05-24 15:00:30.457",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.460"
cmpjwmni80093w2rw5bo5gy8x,GET,/api/v1/testes,/api/v1/testes/,200,3.6,"2026-05-24 15:00:30.458","2026-05-24 15:00:30.462",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.465"
cmpjwmnij0094w2rwpw6c05bm,POST,/api/v1/pecas,/api/v1/pecas/,201,9.18,"2026-05-24 15:00:30.464","2026-05-24 15:00:30.473",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.475"
cmpjwmniu0095w2rw9ee08hhp,PATCH,/api/v1/pecas/21,/api/v1/pecas/:id,200,9.43,"2026-05-24 15:00:30.475","2026-05-24 15:00:30.484",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.486"
cmpjwmnj00096w2rw881e0koo,GET,/api/v1/pecas/21,/api/v1/pecas/:id,200,2.71,"2026-05-24 15:00:30.487","2026-05-24 15:00:30.490",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.492"
cmpjwmnj70097w2rwbmc3nzlk,DELETE,/api/v1/pecas/21,/api/v1/pecas/:id,204,5.6,"2026-05-24 15:00:30.491","2026-05-24 15:00:30.497",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.500"
cmpjwmnjo0098w2rwfrj18mg2,GET,/api/v1/aeronaves,/api/v1/aeronaves/,200,15.26,"2026-05-24 15:00:30.498","2026-05-24 15:00:30.514",::ffff:127.0.0.1,"Apache-HttpClient/4.5.14 (Java/21.0.11)","2026-05-24 15:00:30.516"
